,,,,Independent Variable Independent Variable camera,Independent Variable Independent Variable comments_video,Independent Variable Independent Variable family,Independent Variable Independent Variable id,Independent Variable Independent Variable Missed samples %,Independent Variable Independent Variable Recording after,Independent Variable Independent Variable start (s),Independent Variable Independent Variable Subject not found %,Independent Variable Independent Variable Video file,Independent Variable Independent Variable week,Distance moved center-point Total cm,Velocity center-point Mean cm/s,Movement Moving / center-point Cumulative Duration s,Movement Not Moving / center-point Cumulative Duration s,In zone cue / center-point Cumulative Duration s,In zone cue / center-point Cumulative Duration %,In zone blank / center-point Cumulative Duration s,In zone blank / center-point Cumulative Duration %,Mobility Body fill Mean %,Mobility state Highly mobile Cumulative Duration s,Mobility state Mobile Cumulative Duration s,Mobility state Immobile Cumulative Duration s
5 minutes,Trial     4,Arena 4,In cue,B,nc,BS11,BS11_02,0.0 %,+ 00:02:42.076,162,24.5 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\1-3;166RDPHH\S1660002.MP4,1,"28,7735","0,316618","35,3591","59,5185","97,1976","16,1957",0,0,"17,5118","6,71983","71,3582","16,7996"
5 minutes,Trial     4,Arena 4,In blank,B,nc,BS11,BS11_02,0.0 %,+ 00:02:42.076,162,24.5 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\1-3;166RDPHH\S1660002.MP4,1,"23,3631","0,142254","45,0389","133,997",0,0,"187,915","31,3117","11,5864","4,23989","157,996","17,1196"
5 minutes,Trial     4,Arena 5,In cue,B,nc,BQ1,Q1_02,0.0 %,+ 00:02:42.076,162,99.4 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\1-3;166RDPHH\S1660002.MP4,1,-,-,-,-,-,-,-,-,-,-,-,-
5 minutes,Trial     4,Arena 5,In blank,B,nc,BQ1,Q1_02,0.0 %,+ 00:02:42.076,162,99.4 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\1-3;166RDPHH\S1660002.MP4,1,"2,50336","1,84075","1,59996",0,0,0,"1,99995","0,333244","65,3218","0,959976","0,639984",0
5 minutes,Trial     4,Arena 6,In cue,B,spider on the walls not seen,BS3,S3_02,0.0 %,+ 00:02:42.076,162,40.7 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\1-3;166RDPHH\S1660002.MP4,1,"54,3377","0,440491","55,1186","74,4781","132,237","22,0341",0,0,"22,5807","11,7597","113,517","4,31989"
5 minutes,Trial     4,Arena 6,In blank,B,spider on the walls not seen,BS3,S3_02,0.0 %,+ 00:02:42.076,162,40.7 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\1-3;166RDPHH\S1660002.MP4,1,"19,4796","1,83084","11,3597","0,559986",0,0,"14,6396","2,43935","56,6899","3,19992","8,71978","0,319992"
5 minutes,Trial     5,Arena 1,In cue,A,nc,BQ1,Q1_03,0.0 %,+ 00:04:30.073,270,7.7 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\1-3;168RDPHH\S1680003.MP4,1,-,-,-,-,-,-,-,-,-,-,-,-
5 minutes,Trial     5,Arena 1,In blank,A,nc,BQ1,Q1_03,0.0 %,+ 00:04:30.073,270,7.7 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\1-3;168RDPHH\S1680003.MP4,1,"24,7444","0,0824834","47,4388","252,554",0,0,"300,072","58,1911","10,0569","1,35997","225,194","73,4382"
5 minutes,Trial     5,Arena 2,In cue,A,nc,BS8,S8_03,0.0 %,+ 00:04:30.073,270,99.7 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\1-3;168RDPHH\S1680003.MP4,1,-,-,-,-,-,-,-,-,-,-,-,-
5 minutes,Trial     5,Arena 2,In blank,A,nc,BS8,S8_03,0.0 %,+ 00:04:30.073,270,99.7 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\1-3;168RDPHH\S1680003.MP4,1,-,-,-,-,-,-,-,-,-,-,-,-
